"X","Swidtab","Cygnets","CygnetsII","CygnetsIII","Age","PrevSeaMaxDUr","PrevSeaMove","PrevSSites","SWID","Sex","Season","PrevSeason","PrevSeaWWT","MainSite","PrevSeaMS","PrevSeaBS","ThisSeaWWT","PrevSeaWWT.1","Julian","PrevSeaJulian","PBS","PopBSAll","Ind","WWTBOTH","WWTNON","WWTOUT","WWTIN","WWTNEW","Age.Z","PBS.Z","PopBSAll.Z","PrevSeaMaxDUr","PrevSSites.Z","PrevSeaJulian.Z"
"1",3,1,0,NA,0,4,119,NA,1,"D00001","F",1982,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",77,63,NA,1,1,"WWTBOTH","","","","WWTBOTH",-0.652535991161719,NA,-4.37211962739665,119,-0.596234559041618,-1.5265177552907
"2",4,1,0,NA,0,5,111,NA,1,"D00001","F",1983,"Yes","Yes","IS-HRA","GB-WEL",NA,"No","Yes",NA,77,NA,15.69,2,"","","WWTOUT","","WWTOUT",-0.341498322213903,NA,-0.220998253620267,111,-0.596234559041618,-0.169249826904554
"3",31,1,0,NA,0,4,119,NA,1,"D00001","F",1982,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",77,63,0,1,3,"WWTBOTH","","","","WWTBOTH",-0.652535991161719,-0.451859155995521,-4.37211962739665,119,-0.596234559041618,-1.5265177552907
"4",41,1,0,NA,0,5,111,NA,1,"D00001","F",1983,"Yes","Yes","IS-HRA","GB-WEL",NA,"No","Yes",NA,77,0,15.69,4,"","","WWTOUT","","WWTOUT",-0.341498322213903,-0.451859155995521,-0.220998253620267,111,-0.596234559041618,-0.169249826904554
"5",7,2,0,NA,0,4,99,NA,1,"D00002","F",1982,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",72,74,0,1,5,"WWTBOTH","","","","WWTBOTH",-0.652535991161719,-0.451859155995521,-4.37211962739665,99,-0.596234559041618,-0.460092954415871
"6",8,2,2,2,1,5,132,NA,1,"D00002","F",1983,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",72,72,2,15.69,6,"WWTBOTH","","","","WWTBOTH",-0.341498322213903,0.192311256791694,-0.220998253620267,132,-0.596234559041618,-0.653988372756749
"7",9,2,1,1,1,6,115,NA,1,"D00002","F",1984,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",77,72,3,20.83,7,"WWTBOTH","","","","WWTBOTH",-0.0304606532660867,0.514396463185301,1.23147035503941,115,-0.596234559041618,-0.653988372756749
"8",10,2,1,1,1,7,114,NA,1,"D00002","F",1985,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",95,77,4,22.9,8,"WWTBOTH","","","","WWTBOTH",0.280577015681729,0.836481669578908,1.8164139386825,114,-0.596234559041618,-0.169249826904554
"9",11,2,1,1,1,8,154,NA,1,"D00002","F",1986,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",69,95,5,11.2,9,"WWTBOTH","","","","WWTBOTH",0.591614684629545,1.15856687597251,-1.48978892538718,154,-0.596234559041618,1.57580893816335
"10",12,2,2,2,1,9,136,NA,1,"D00002","F",1987,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",76,69,7,17.4,10,"WWTBOTH","","","","WWTBOTH",0.902652353577361,1.80273728875973,0.262216011128378,136,-0.596234559041618,-0.944831500268067
"11",13,2,1,1,1,10,118,NA,1,"D00002","F",1988,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",88,76,8,8.5,11,"WWTBOTH","","","","WWTBOTH",1.21369002252518,2.12482249515334,-2.25275881709557,118,-0.596234559041618,-0.266197536074993
"12",14,2,0,NA,0,11,129,NA,1,"D00002","F",1989,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",85,88,8,9.8,12,"WWTBOTH","","","","WWTBOTH",1.52472769147299,2.12482249515334,-1.88540294331005,129,-0.596234559041618,0.897174973970276
"13",15,2,0,NA,0,12,123,NA,1,"D00002","F",1990,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",81,85,8,16.99,13,"WWTBOTH","","","","WWTBOTH",1.83576536042081,2.12482249515334,0.146357620165253,123,-0.596234559041618,0.606331846458959
"14",16,2,0,NA,0,13,77,NA,1,"D00002","F",1991,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",75,81,8,20.2,14,"WWTBOTH","","","","WWTBOTH",2.14680302936863,2.12482249515334,1.05344404697411,77,-0.596234559041618,0.218541009777202
"15",17,2,0,NA,0,14,95,NA,1,"D00002","F",1992,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",73,75,8,12.8,15,"WWTBOTH","","","","WWTBOTH",2.45784069831644,2.12482249515334,-1.03765861918962,95,-0.596234559041618,-0.363145245245432
"16",18,2,0,NA,0,15,93,NA,1,"D00002","F",1993,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",73,73,8,16,16,"WWTBOTH","","","","WWTBOTH",2.76887836726426,2.12482249515334,-0.133398006794489,93,-0.596234559041618,-0.55704066358631
